mask,edge_count,edge_graph_id,equality_graph_id,r0_profile_j123,indexed_replay_key
0x03f0,24,EG0173,EQ049,110,0x03f0
0x03f2,24,EG0173,EQ049,110,0x03f2
0x03f4,26,EG0171,EQ007,110,0x03f4
0x03f6,26,EG0171,EQ007,110,0x03f6
0x03f8,22,EG0773,EQ057,110,0x03f8
0x03fa,24,EG0443,EQ024,110,0x03fa
0x03fc,20,EG0774,EQ127,110,0x03fc
0x03fe,22,EG0445,EQ100,110,0x03fe
0x0800,22,EG0720,EQ069,000,0x0800
0x0802,24,EG0388,EQ062,000,0x0802
0x0804,24,EG0742,EQ032,000,0x0804
0x0806,26,EG0334,EQ026,000,0x0806
0x0808,28,EG0056,EQ016,000,0x0808
0x080a,28,EG0110,EQ017,000,0x080a
0x080c,26,EG0113,EQ020,000,0x080c
0x080e,26,EG0059,EQ019,000,0x080e
0x0810,24,EG0528,EQ047,100,0x0810
0x0812,24,EG0542,EQ046,100,0x0812
0x0814,26,EG0539,EQ010,100,0x0814
0x0816,26,EG0525,EQ010,100,0x0816
0x0818,26,EG0669,EQ007,100,0x0818
0x081a,28,EG0265,EQ004,100,0x081a
0x081c,24,EG0677,EQ043,100,0x081c
0x081e,26,EG0254,EQ040,100,0x081e
0x0820,20,EG0797,EQ072,000,0x0820
0x0822,22,EG0543,EQ068,000,0x0822
0x0824,22,EG0803,EQ038,000,0x0824
0x0826,24,EG0526,EQ029,000,0x0826
0x0828,26,EG0252,EQ019,000,0x0828
0x082a,26,EG0266,EQ020,000,0x082a
0x082c,24,EG0269,EQ054,000,0x082c
0x082e,24,EG0255,EQ053,000,0x082e
0x0830,26,EG0336,EQ044,100,0x0830
0x0832,26,EG0387,EQ044,100,0x0832
0x0834,28,EG0384,EQ008,100,0x0834
0x0836,28,EG0333,EQ008,100,0x0836
0x0838,28,EG0590,EQ005,100,0x0838
0x083a,30,EG0109,EQ002,100,0x083a
0x083c,26,EG0619,EQ041,100,0x083c
0x083e,28,EG0058,EQ018,100,0x083e
0x0840,24,EG0337,EQ061,000,0x0840
0x0842,22,EG1000,EQ073,000,0x0842
0x0844,26,EG0385,EQ027,000,0x0844
0x0846,24,EG0972,EQ031,000,0x0846
0x0848,28,EG0056,EQ016,000,0x0848
0x084a,28,EG0110,EQ017,000,0x084a
0x084c,26,EG0113,EQ020,000,0x084c
0x084e,26,EG0059,EQ019,000,0x084e
0x0850,24,EG0528,EQ047,100,0x0850
0x0852,24,EG0542,EQ046,100,0x0852
0x0854,26,EG0539,EQ010,100,0x0854
0x0856,26,EG0525,EQ010,100,0x0856
0x0858,28,EG0251,EQ004,100,0x0858
0x085a,26,EG0930,EQ007,100,0x085a
0x085c,26,EG0268,EQ040,100,0x085c
0x085e,24,EG0926,EQ043,100,0x085e
